Blaydon,North East,67853,45681,0.673234787,0.312230468,0.433309253,0.081062148,0.127689849,0.027998511,0,0,0,0,0,0,0,0.01770977,0,0.080029317,0.13323655,0.152785804,0.16993897,0.175266741,0.288742618
Blyth Valley,North East,64429,40859,0.634170948,0.426833745,0.409407964,0.05264446,0.083066154,0.028047676,0,0,0,0,0,0,0,0,0,0.085213399,0.146784028,0.149605954,0.170251342,0.174564648,0.27358063
Bognor Regis and Littlehampton,South East,77446,51223,0.661402784,0.634890576,0.195576206,0.1102044,0,0.035648049,0,0,0,0,0,0,0,0.023680768,0,0.07780044,0.13926142,0.136629331,0.159030571,0.165399998,0.32187824
Bolsover,East Midlands,74292,45938,0.618343832,0.474356742,0.359005616,0.03829074,0.090360921,0.016500501,0,0,0,0,0,0,0,0.02148548,0,0.087271341,0.158573466,0.14303452,0.181980232,0.173128934,0.256011507
Bolton North East,North West,67564,43556,0.644662838,0.453645881,0.444967398,0.04240518,0.043162825,0.015818716,0,0,0,0,0,0,0,0,0,0.102982636,0.176784444,0.162727584,0.171712381,0.153571523,0.232221432
Bolton South East,North West,69163,40604,0.587076905,0.342774111,0.529898532,0.034750271,0.073096247,0.019480839,0,0,0,0,0,0,0,0,0,0.114939771,0.185598121,0.175433723,0.177769641,0.143475845,0.202782899
Bolton West,North West,73191,49298,0.673552759,0.552862185,0.373240294,0.054850095,0,0.019047426,0,0,0,0,0,0,0,0,0,0.085253366,0.160026691,0.152503565,0.180489592,0.171095498,0.250631288
Bootle,North West,74832,49174,0.657125294,0.091715134,0.794444218,0.037052101,0.053076829,0.023711718,0,0,0,0,0,0,0,0,0,0.096423316,0.177285815,0.151538806,0.168392092,0.183377055,0.222982916
Boston and Skegness,East Midlands,69381,41696,0.600971448,0.766572333,0.152100921,0.047078856,0,0,0,0,0,0,0,0,0,0.034247889,0,0.081008276,0.146770903,0.140798734,0.159609345,0.174900846,0.296911896
Bosworth,East Midlands,81542,56432,0.692060533,0.638928268,0.173270485,0.161185143,0,0.026616104,0,0,0,0,0,0,0,0,0,0.078496135,0.147727805,0.148676505,0.180452097,0.169723589,0.27492387
Bournemouth East,South West,74125,49274,0.66474199,0.505865162,0.327150221,0.109956569,0,0.041583797,0,0,0,0,0,0,0,0.015444251,0,0.111931818,0.146981534,0.183960701,0.174348958,0.151171875,0.231605114
Bournemouth West,South West,74205,45977,0.619594367,0.533962633,0.313200078,0.107249277,0,0.045588011,0,0,0,0,0,0,0,0,0,0.178211919,0.159604228,0.156153264,0.141695902,0.135011809,0.229322877
